,Name,Web Site,Phone Number,Map,Indoor or Outdoor:,Estimated Cost,Facebook Page,Image Link,Pickleball Nets,Parking,Email Address,Comments,Restroom,How to contact other players,water fountain,Caution,Bathroom,Court Surface,Time,Lights
32,Highline High School Pickleball and Tennis Courts (Burien),https://www.highlineschools.org/departments/communications/news/new-posts/~board/district-news/post/new-hhs-tennis-courts-under-construction-at-sunnydale,,"675 S 156th St, Burien, WA 98148",Outdoor,Use the tennis net as a pickleball net,,,"4 tennis courts, each with lines for 1 pickleball court                                            for a total of                                                                                        4 pickleball courts.                                            The tennis nets serve as the pickleball nets.",Free,,Off-street parking,,,,,,,,
33,Lake Burien School Memorial Park (Burien),https://www.burienwa.gov/residents/...,,"1620 SW 149th Street                                                Burien, Washington 98166",Outdoor,Use the tennis net as a pickleball net,https://www.facebook.com/pages/Lake-Burien-Park/128584477187905,,2 courts. (2 tennis courts; 1 pickleball court on each tennis court).,No court lights,,,Restroom,,Water fountain,,,,,
34,Covington Community Park,https://www.covingtonwa.gov/city_departments/...,,"24253 180th Ave SE, Kent, WA 98042",Public outdoor courts,No lights,https://www.facebook.com/pages/Covington Community Park/112723102204842/,,Restroom,2 pickleball courts OR                                            1 tennis court,,,Free,,,,,Asphalt or concrete,,
35,Des Moines Field House Park (Des Moines),,(206) 870-6527,"1000 S 220th St, Des Moines, WA 98198",Public outdoor courts,2 tennis courts OR                                                                                        2 pickleball courts using the tennis net as a pickleball net,https://www.facebook.com/desmoines...,,,,,,,,,,,,,
36,Frances Anderson Center (Edmonds),http://www.edmondswa.gov/parks-recreation-departments/classes-programs.htmlEdmonds Pickleball Facebook group,(425) 771-0229                                            (425) 771-0230,"700 Main Street Edmonds, WA 98020",Indoor,$,https://www.facebook.com/pages/Frances-Anderson-Center/213815508652175,,,,Todd.Cort@edmondswa.gov,,,,,,,,,
37,Seaview Park (Edmonds),http://www.edmondswa.gov/visit-a-park-text-15/parks-map/seaview-park.html,,"8030 185th St SW, Edmonds WA 98020",Public outdoor courts,8 portable nets are on site from March to October.,,,2 tennis courts with added lines for 2 pickleball courts on each tennis court.,,,,,Free,,,,,,
38,Yost Park (Edmonds),http://www.edmondswa.gov/visit-a-park-text-15/parks-map/yost-park.html,,"9535 Bowdoin Way, Edmonds WA 98020",Public outdoor courts,8 a.m. to dusk.                                            Please don't start before 8 a.m. so as to no disturb the neighbors.,https://www.facebook.com/pages/Yost-Park-Edmonds/589030701235593,,"4 dedicated pickleball courts, and                                            1 tennis court with added lines for 4 pickleball courts",,,Free,,"Donald says ""a group of us play there Sundays at 1:30 all year.""                                                                                        Patrick says ""Nice weather brings out 'advanced' play on Saturdays with upwards of 20-30 players.                                            Sunday is geared mostly towards 'beginner' or 'recreational' players.                                            Parking on-site is free with additional street parking as needed.                                            These courts have become the go to outdoor courts in the north end.""",,,,,8 pickleball nets are available from spring to fall.,
39,American Legion Memorial Park (Everett),https://everettwa.gov/Facilities/Facility/Details/Legion-Memorial-Park-47https://www.everettwa.gov/2737/Pickle-Ball-Courts,,"145 Alverson Blvd, Everett, WA 98201",Outdoor,1 court,www.facebook.com/pages/American Legion Memorial Park/146227712072697/,,Off-street parking,Free,,,,,,,,,,
40,Everett Family YMCA,https://ymca-snoco.org/our-locations/everett-ymca/,(425) 258-9211,"2720 Rockefeller Ave, Everett, WA 98201",Indoor,1,https://www.facebook.com/YMCAEverett/,,,,,,,,,,,,,
41,Forest Park (Everett),https://everettwa.gov/Facilities/Facility/Details/Forest-Park-23https://www.everettwa.gov/2737/Pickle-Ball-Courts,,"802 E Mukilteo Blvd Everett, WA 98203",Outdoor,2 courts,"https://www.facebook.com/pages/Forest Park, Everett/442167922470472/",,Off-street parking,Free,,,,,,,,,,
42,Garfield Park (Everett),https://everettwa.gov/Facilities/Facility/Details/Garfield-Park-24https://www.everettwa.gov/2737/Pickle-Ball-Courts,,"2300 Walnut St., Everett, WA 98201",Outdoor,1 court,https://www.facebook.com/pages/Garfield-Park/276452795699297,,"Off-street parking:                                                                                                On the East side of State Street, between 23rd and 24th Street.                                                                                                    On the North side of 24th Street, between Walnut Street and State Street",Free,,,,,,,,,,
43,Lowell Park (Everett),https://everettwa.gov/Facilities/Facility/Details/Lowell-Park-31https://www.everettwa.gov/2737/Pickle-Ball-Courts,,"4605 S 3rd Ave, Everett, WA 98201",Outdoor,1 court,https://www.facebook.com/pages/Lowell Park/1453286608288745/,,Off-street parking,Free,,,,,,,,,,
44,Mill Creek Family YMCA (Everett),https://ymca-snoco.org/our-locations/mill-creek-ymca/,(425) 337-0123,"13723 Puget Park Dr, Everett, WA 98208",Indoor,2 courts,https://www.facebook.com/ymcamillcreek,,,,,,,,,,,,,
45,Federal Way Community Center (Federal Way),http://itallhappenshere.org/,(253) 835-6900,"876 S 333rd St, Federal Way, WA 98003",Indoor,$,https://www.facebook.com/fwcommunitycenter/,,,Off Street Parking,,,,,,,,,,
46,SW 312th Sports Court (Federal Way),http://www.cityoffederalway.com/page/neighborhood-parks,,"SW 312th & 11th Ave SW, Federal Way, WAÂ 98003",Public outdoor court,1,https://www.facebook.com/pages/SW-312th-Sports-Courts/1051306571554603,,,Free,,,,,,,,,,
47,Blackberry Park (Issaquah),,,"4214 191st Ave SE, Issaquah, WA 98027",Public outdoor court,1,,,,,parksrecreation@issaquahwa.gov,Free,,,,,,,,
48,Central Park - Issaquah Higlands Pickleball and Tennis Courts (Issaquah),https://www.issaquahwa.gov/3287/Pickleball...,,"1907 NE Park Dr, Issaquah, WA 98029",Public outdoor courts,"3 (2 outdoor tennis courts.                                            One has lines for one pickleball court on each side of the tennis net.                                            The other one has lines for one pickleball court, using the tennis net as the pickleball net)",https://www.facebook.com/pages/Central-Park/288151354619287,,Off-street parking,Free,,,,,,,,,,
49,Issaquah Community Center (Issaquah),http://www.ci.issaquah.wa.us/index.aspx?NID=768,(425) 837-3300,"301 Rainier Blvd. S., Issaquah, WA 98027",Indoor,3 courts,https://www.facebook.com/pages/Issaquah-Community-Center/144930588874848,,,,parksrecreation@issaquahwa.gov,,,,,,,Carpet,,
50,Meerwood Park (Issaquah),https://issaquahwa.gov/Facilities/Facility/...,,"4703 192nd Ave SE, Issaquah, WA 98027",Public outdoor court,2,https://www.facebook.com/pages/Meerwood Park/147836988693847/,,Free,,,,,,,,,,,
51,Tibbetts Valley Park (Issaquah),https://issaquahwa.gov/Facilities/...,,"750 17th Ave NW, Issaquah, WA 98027",Public outdoor court,"2 (4 outdoor tennis courts, one of which has lines for one pickleball court on each side of the tennis net)",https://www.facebook.com/pages/Tibbets Valley Park/120834847969023/,,Off-street parking,Free,,,,,,,,,,
52,The Lodge at St Edward Park (Kenmore),https://www.thelodgeatstedward.com/things-to-do/pickleball,(425) 470-6500,"14477 Juanita Drive Northeast, Kenmore, WA 98028",Indoor,Hardwood,https://www.facebook.com/lodgeatstedwardpark,,,$,,,,,,,,4 courts,,
53,Canterbury Park (Kent),http://www.kentwa.gov/Home/Components/...,,"24409 100th Ave SE, Kent, WA 98030",Outdoor,1 court,https://www.facebook.com/pages/Canterbury-Park/133334853404632,,,,,,,,,,,,,
54,Kent Commons Community Center (Kent),http://kentwa.gov/kentcommons/,(253) 856-5000,"525 Fourth Ave N Kent, WA 98032",Indoor,$,https://www.facebook.com/pages/Kent-Commons/138157442892774,,,,,,,,,,,,,
55,Kent YMCA (Kent),https://www.seattleymca.org/locations/kent-ymca,(253) 246-8515,"10828 SE 248th St, Kent, WA 98030",Indoor,"Free for members, daily fee for non-members.",https://www.facebook.com/KentYMCA/,,,,,,,,,,,,,
56,Eastside Tennis Center (Kirkland),http://topskirkland.org/,(425) 658-4046,"10822 117th Place NE, Kirkland, WA 98033. At the end of the street, take a right towards the far end of the building.",Indoor,$,https://www.facebook.com/Outreach...,"3 pickleball courts. The court lines are a mix of youth tennis court white lines and blue masking tape.  It takes a little getting used to, but it works.",,Off-street parking,,,,A group of Redmond Ridge Trilogy residents play at the Eastside Tennis Center on weekday mornings.,,,,Asphalt or concrete,,
57,Everest Park (Kirkland),https://www.kirklandwa.gov/.../Everest-Park,,"500 8th St S, Kirkland, WA 98033",Public outdoor dedicated pickleball courts,3,https://www.facebook.com/pages/Everest-Park/122258877823598https://www.facebook.com/kirklandparks,,,Free,eparks@kirklandwa.gov,,,,,,,,,
58,Feriton Spur Park (Kirkland),https://www.kirklandwa.gov/.../Feriton-Spur-Park,,"509 6th Street South, Kirkland 98033",Outdoor,Net provided.,https://www.facebook.com/kirklandparks,,1 public dedicated pickleball court,,eparks@kirklandwa.gov,,,,,,,,,
59,Mark Twain Park (Kirkland),http://www.kirklandwa.gov/.../Mark-Twain-Park,,"10625 132nd Ave NE, Kirkland, WA 98033",Outdoor,You will have to bring a pickleball net.,https://www.facebook.com/kirklandparks,,1 basketball court with pickleball lines,,eparks@kirklandwa.gov,,,,,,,,,
60,North Kirkland  Community Center (Kirkland),https://www.kirklandwa.gov/depart/parks/...,(425) 587-3350,"12421 103rd Ave NE, Kirkland, WA 98034",indoor,1 (One full-size court or two modified courts available),https://www.facebook.com/pages/North-Kirkland-community-center/207459436044681,,,$3 per participant as of February 2023,eparks@kirklandwa.gov,,,,,,,,,
61,Van Aalst Park (Kirkland),http://www.kirklandwa.gov/.../Van-Aalst-Park,,"335 13th Ave, Kirkland, WA 98033",Outdoor,Net provided.,https://www.facebook.com/kirklandparks,,"1 pickleball court with ""plastic tile surfacing""",Free,eparks@kirklandwa.gov,,,,,,,,,
62,Horizon View Park (Lake Forest Park),https://www.cityoflfp.gov/305/Horizon-View-Park,,"19800 47th Ave NE, 19800 47th Ave NE",Outdoor,"1 tennis court with lines for                                            1 pickleball court for now,                                            but 2 pickleball courts probably in late summer 2023.",https://www.facebook.com/pages/Horizon-View-Park/163068770408420,,Free,No lights,,,,,,,,,,
63,Academy Sports Center (Lynnwood),https://www.academyvb.com/pickleball,(425) 745-0866,"2810 Lincoln Way, Lynnwood, WA 98087",Indoor,4,https://www.facebook.com/profile.php?id=100045777686949,,,$,pickleball@academyvb.com,,,,,,,Hardwood,,
64,South Lynnwood Park (Lynnwood),https://www.lynnwoodwa.gov/Community/Play-Lynnwood/Parks-Trails-and-Open-Space/South-Lynnwood-Park,(425) 670-5732,"20915 61st Ave W, Lynnwood, WA 98036",Outdoor,2 tennis courts with lines for 4 pickleball courts.,https://www.facebook.com/pages/South Lynnwood Park/536782636408559/,,Free,,,,,,,,,,,
65,Luther Burbank Park Pickleball Courts (Mercer Island),https://www.mercerisland.gov/parksrec/page/luther-burbank-park,(206) 236-3545,"2040 84th Ave SE, Mercer Island, WA 98040",Outdoor,"3 tennis courts, each with added lines for one pickleball court.",https://www.facebook.com/pages/Luther Burbank Park/142511822447934/,,Pickleball lines are now painted. No more tape!,Free,,Off-street parking,,Players organize games on                                                                                            PlayTime Scheduler,,,,Asphalt or concrete,,
66,Mercer Island  Community & Event Center Gymnasium (Mercer Island),http://www.mercergov.org/Page.asp?NavID=1951,Community Center: (206) 275-7609; Gym Hotline: (206) 275-7892,"8236 SE 24th St., Mercer Island, WA 98040",Indoor,"3 to 6 courts, depending on the time of day",https://www.facebook.com/Mercer...,,,$,,,,,,,,Hardwood,,
67,Stroum Jewish Community Center (Mercer Island),https://sjcc.org/programs/fitness/fitness-center/pickleball/,(206) 232-7115,"3801 East Mercer Way, Mercer Island, WA 98040",Indoor,4 courts,https://www.facebook.com/sjccseattle,,,Fall 2022:                                                                                                Members: Free                                                                                                    Non-Members: $15/day for full access to the facility,,,,,,,,Hardwood,,
68,Heron Park (Mill Creek),https://www.cityofmillcreek.com/cms/One.aspx?portalId=9100937&pageId=10699327https://millcreekwa.gov/pickleball,,"2701 155th St. SE, Mill Creek, WA 98012",Public outdoor court,1 tennis court with lines for 1 pickleball court,,,On street parking,Free,,,,,,,,Asphalt or concrete,,
69,Highlands Park (Mill Creek),https://www.cityofmillcreek.com/cms/One.aspx?portalId=9100937&pageId=10699327https://millcreekwa.gov/pickleball,,"16123 Highlands Blvd SE, Mill Creek, WA 98012",Public outdoor courts,1 tennis court with lines for 2 pickleball courts,,,On street parking,Free,,,,,,,,Asphalt or concrete,,
70,Lake Tye Park (Monroe),http://www.monroewa.gov/Facilities/...,(360) 305-7105,"14964 Fryelands Blvd., Monroe, WA  98272",Public outdoor courts,2 tennis courts with pickleball lines,https://www.facebook.com/pages/Lake-Tye-Park/147273415297674,,,Free,,Off-street parking,,,,,,Asphalt or concrete,,
71,Monroe Family YMCA,http://ymca-snoco.org/locations/monroesky-valley-ymca/,(360) 805-1879,"14033 Fryelands Blvd, Monroe, WA 98272",Indoor,1 court,https://www.facebook.com/ymcamonroe/,,,,,,,"Free for members, daily fee for non-members.",,,,,,
72,Mukilteo Family YMCA (Mukilteo),http://www.ymca-snoco.org/mukilteo,(425) 493-9622,"10601 47th Pl W, Mukilteo, WA 98275",Indoor,1,https://www.facebook.com/ymcamukilteo/,,,Free for members. Members and guests only.,,,,,,,,,,
73,Coal Creek Family YMCA (Newcastle),http://www.seattleymca.org/locations/coal-creek-family-ymca,(425) 282-1500,"13750 Newcastle Golf Club Rd,  Newcastle, WA 98059",Indoor,2,https://www.facebook.com/CoalCreekFamilyYMCA/,,,,,,,,,,,,,
74,Lake Boren Park (Newcastle),http://www.ci.newcastle.wa.us/parks/parks_list.htm,(425) 649-4444,"13058 SE 84th Way, Newcastle, WA 98059                                            (NW corner of Coal Creek Parkway and SE 84th Way)",Public outdoor courts,2 courts,https://www.facebook.com/pages/Lake-Boren/145762488785081,,,Free,,Off-street parking,,,,,,Asphalt or concrete,,
75,Normandy Park Recreation Center (Normandy Park),https://normandyparkwa.gov/recreation-community/recreation-facility-rentals/,(206) 248-7603,"801 SW 174th St, Normandy Park, WA 98166",Indoor,,https://www.facebook.com/pages/Normandy-Park-Recreation-Center/425910074127708,,,,,,,,,,,,,
76,Hartman Park (Redmond),https://www.redmond.gov/Facilities/Facility/Details/Hartman-Park-63,,"17300 NE 104th St, Redmond, WA 98052",Outdoor,3 pickleball courts on 2 tennis courts. See below for details.,,,,,,free,,,,,,,,
77,Meadow Park (Redmond),https://www.redmond.gov/Facilities/Facility/Details/Meadow-Park-41,,"10710 160 Ave NE, Redmond, WA 98052",Outdoor,free,,,,On street parking,,,,,,,,,,
78,Nike Park (Redmond),https://www.redmond.gov/Facilities/Facility/Details/Nike-Park-42,,"17207 NE 92nd St, Redmond, WA 98052",Outdoor,free,,,,On Street Parking,,,,,,,,,,
79,Perrigo Park (Redmond),https://www.redmond.gov/Facilities/Facility/Details/Perrigo-Park-66,,"9011 196th Ave NE, Redmond, WA 98053",Public outdoor courts,Lighted,,,"One of the three tennis courts has been converted into four dedicated pickleball courts.                                                                                        Another tennis court can be used as one pickleball court.                                            On that court, the tennis net is also used as the pickleball net.",free,,Off Street Parking,,,,,,,,5 pickleball courts. See below for details.
80,"Redmond Senior Center / Sammamish River Trail (Redmond)                                                                    The Senior center is closed                                    but the outdoor courts are still available.                                                                        Some activities are taking place at the                                                                            Old Redmond Schoolhouse Community Center, 16600 NE 80th St, Redmond, WA 98052",https://www.redmond.gov/206/Redmond-Senior-Center,(425) 556-2314,"8703 160th Ave NE, Redmond, WA 98052",Public outdoor courts,,https://www.facebook.com/RedmondWASeniors/,,,"50+, or 18+ accompanied by a senior during scheduled plays.",,,,,,2 dedicated courts,,,,
81,Gorin Tennis at Redmond Tennis Center (a.k.a Gorin Tennis Redmond) (Redmond),https://www.gorintennis.com,(425) 324-0477,"10600 231st Way NE, Redmond, WA 98053",Indoor courts,Asphalt or concrete,https://www.facebook.com/GorinTennisRedmond,,,Spring 2021                                                                                                Drop-in play: $15                                                                                                Court Rental $25/hour,RedmondTennisCenter@GorinTennis.com,,,,,,,8 courts,,
82,Spiritbrook Park (Redmond),https://www.redmond.gov/Facilities/Facility/Details/Spiritbrook-Park-51,,"6500 151st Ave NE, Redmond, WA 98052",Public outdoor courts,1 court,,,,Free,,,,,,,,,,
83,Viewpoint Park (Redmond),https://www.redmond.gov/Facilities/Facility/Details/Viewpoint-Park-53,,"2501 185th Ave NE, Redmond, WA 98052",Public outdoor courts,1 court,,,,Free,,,,,,,,,,
84,Westside Park (Redmond),https://www.redmond.gov/Facilities/Facility/Details/Westside-Park-57,,"5810 156th Ave NE, Redmond, WA 98052",Public outdoor courts,1 court,,,,Free,,,,,,,,,,
85,Meadow Crest Pickleball and Tennis Court (Renton),,,"3000 NE 16th St, Renton, WA 98056",outdoor,The tennis net serves as the pickleball net,,,1 tennis court with lines for 1 pickleball court,,,,,,,,,,,
86,Renton Community Center (Renton),https://www.rentonwa.gov/city_hall/public_works/facilities/renton_community_center,(425) 430-6700Â,"1715 SE Maple Valley Hwy, Renton, WA 98057-3900",Indoor,3 courts,https://www.facebook.com/pages/Renton-Community-Center/102782334762102,,,"$: As of January 2022, $5 for 1.5h",recreation@rentonwa.gov,,,,,,,,,
87,Renton Senior Activity Center (Renton),http://rentonwa.gov/senioractivitycenter/,(425) 430-6633Â,"211 Burnett Avenue North, Renton WA 98057",Indoor,Pickleball drop-in is open to all ages,https://www.facebook.com/pages/Renton-Senior-Center/105382749537544,,,Free,,No permanent lines. Low Ceiling.,,,,Off-street parking,,,,
88,Talbot Hill Reservoir Park (Renton),http://rentonwa.gov/living/default.aspx?id=10064,,"710 South 19th Street, Renton, WAÂ 98055",Public outdoor court,3,https://www.facebook.com/pages/Talbot-Hill-Reservoir-Park/300830360067807,,,Free,,,,,,,,,,
89,East Sammamish Park (Sammamish),https://www.sammamish.us/parks-recreation/parks-trails/east-sammamish-park/,,"21300 NE 16th, Sammamish, WA 98074",Outdoor,"As of March 2023,                                            three                                            roll-away semi-permanent pickleball nets                                            are available on the courts and                                            one more has been ordered.",https://www.facebook.com/pages/East-Sammamish-Park/676288845805305,,"2 tennis courts, each with lines for 2 pickleball courts                                            for a total of                                                                                        4 pickleball courts.",,,,,,,,,,,
90,Pine Lake Covenant Church (Sammamish),https://plcc.org/,,"1715 228th Ave SE, Sammamish, WA 98075",Indoor,2 courts,https://www.facebook.com/plcc.community,,,,,,,,,,,,,
